Geo_FIPS,Geo_GEOID,Geo_NAME,housingunits,occupied,vacant,vacant_rental,vacant_sale,vacant_other,med_rent,med_rir,vacrate
13720,31000US13720,"Big Stone Gap, VA Micro Area",27304,23372,3932,616,352,2964,592,34.7999992370605,0.144008203926165
13740,31000US13740,"Billings, MT Metro Area",72031,66009,6022,1301,384,4337,736,28.3999996185303,0.083602893198762
13780,31000US13780,"Binghamton, NY Metro Area",112325,99616,12709,2238,1180,9291,694,32.2999992370605,0.113144892054307
13820,31000US13820,"Birmingham-Hoover, AL Metro Area",503430,435724,67706,11598,8396,47712,797,31,0.134489402697495
13900,31000US13900,"Bismarck, ND Metro Area",52653,49468,3185,377,528,2280,710,24.1000003814697,0.060490380415171
13940,31000US13940,"Blackfoot, ID Micro Area",16167,14840,1327,237,147,943,617,24.2999992370605,0.08208078183955
13980,31000US13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",78784,68600,10184,1397,920,7867,773,35.2000007629395,0.129264825345248
14010,31000US14010,"Bloomington, IL Metro Area",78004,71161,6843,1939,1003,3901,757,28.2999992370605,0.087726270447669
14020,31000US14020,"Bloomington, IN Metro Area",69536,62317,7219,1416,809,4994,808,38.2000007629395,0.103816728025771
14100,31000US14100,"Bloomsburg-Berwick, PA Metro Area",37608,33793,3815,197,238,3380,712,30.5,0.101441182727079
14140,31000US14140,"Bluefield, WV-VA Micro Area",50698,43896,6802,835,599,5368,579,30.1000003814697,0.134167028285139
14180,31000US14180,"Blytheville, AR Micro Area",20461,17188,3273,808,153,2312,617,32.0999984741211,0.159962856165388
14220,31000US14220,"Bogalusa, LA Micro Area",21171,17589,3582,419,325,2838,567,36.2000007629395,0.169193708374663
14260,31000US14260,"Boise City, ID Metro Area",250085,232248,17837,3370,3668,10799,813,29.8999996185303,0.071323749925026
14340,31000US14340,"Boone, IA Micro Area",11771,10619,1152,200,84,868,642,26.8999996185303,0.097867640812166
14380,31000US14380,"Boone, NC Micro Area",32561,20224,12337,1615,427,10295,822,50,0.378888854764903
14420,31000US14420,"Borger, TX Micro Area",10591,8390,2201,286,200,1715,703,26.8999996185303,0.207817958644132
14460,31000US14460,"Boston-Cambridge-Newton, MA-NH Metro Area",1890680,1764845,125835,29255,11902,84678,1219,30,0.066555419214251
14500,31000US14500,"Boulder, CO Metro Area",128600,121526,7074,1423,893,4758,1149,34.7999992370605,0.055007776049767
14540,31000US14540,"Bowling Green, KY Metro Area",70168,62821,7347,1124,733,5490,666,29.7999992370605,0.104705848819975
14580,31000US14580,"Bozeman, MT Micro Area",43288,37495,5793,894,493,4406,850,30.1000003814697,0.1338246165219
14620,31000US14620,"Bradford, PA Micro Area",21136,17340,3796,176,315,3305,613,30.8999996185303,0.179598788796366
14660,31000US14660,"Brainerd, MN Micro Area",65450,39530,25920,392,850,24678,704,29.1000003814697,0.396027501909855
14700,31000US14700,"Branson, MO Micro Area",50300,33733,16567,915,904,14748,689,30.8999996185303,0.329363817097415
14720,31000US14720,"Breckenridge, CO Micro Area",30078,10386,19692,1564,477,17651,1143,29.2999992370605,0.654697785757032
14740,31000US14740,"Bremerton-Silverdale, WA Metro Area",108282,97993,10289,2565,1306,6418,1043,31.1000003814697,0.095020409671044
14780,31000US14780,"Brenham, TX Micro Area",15628,11917,3711,468,281,2962,791,26.3999996185303,0.237458407985667
14820,31000US14820,"Brevard, NC Micro Area",19285,13735,5550,312,276,4962,647,30.8999996185303,0.287788436608763
14860,31000US14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",362616,333502,29114,7540,3837,17737,1327,32.5999984741211,0.08028879034571
15020,31000US15020,"Brookhaven, MS Micro Area",15262,13091,2171,267,130,1774,627,33,0.142248722316865
15060,31000US15060,"Brookings, OR Micro Area",12618,10296,2322,259,312,1751,825,32.7000007629395,0.184022824536377
15100,31000US15100,"Brookings, SD Micro Area",13475,12318,1157,298,74,785,666,29.8999996185303,0.085862708719852
15180,31000US15180,"Brownsville-Harlingen, TX Metro Area",144180,119695,24485,4943,1391,18151,648,32.7000007629395,0.169822444167013
15220,31000US15220,"Brownwood, TX Micro Area",18375,13329,5046,650,195,4201,661,29.1000003814697,0.274612244897959
15260,31000US15260,"Brunswick, GA Metro Area",58478,43257,15221,1576,891,12754,788,29.2999992370605,0.260285919491091
15340,31000US15340,"Bucyrus, OH Micro Area",20082,17625,2457,194,274,1989,642,27.6000003814697,0.122348371676128
15380,31000US15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",519721,470035,49686,11094,5203,33389,725,30,0.095601293771081
15420,31000US15420,"Burley, ID Micro Area",16110,14848,1262,314,89,859,562,25.6000003814697,0.078336436995655
15460,31000US15460,"Burlington, IA-IL Micro Area",22314,19997,2317,595,158,1564,625,28.2999992370605,0.103836156672941
15500,31000US15500,"Burlington, NC Metro Area",67487,61046,6441,2096,805,3540,743,30.8999996185303,0.095440603375465
15540,31000US15540,"Burlington-South Burlington, VT Metro Area",93375,84818,8557,929,778,6850,1027,32.4000015258789,0.091641231593039
15580,31000US15580,"Butte-Silver Bow, MT Micro Area",16774,15275,1499,264,249,986,595,30,0.089364492667223
15620,31000US15620,"Cadillac, MI Micro Area",25788,18587,7201,340,457,6404,713,31.2999992370605,0.279238405459904
15660,31000US15660,"Calhoun, GA Micro Area",22241,19320,2921,772,682,1467,671,30.2999992370605,0.131334022750776
15680,31000US15680,"California-Lexington Park, MD Metro Area",42330,37947,4383,882,572,2929,1259,26.2000007629395,0.103543586109142
15700,31000US15700,"Cambridge, MD Micro Area",16652,13419,3233,183,199,2851,842,32.7999992370605,0.19415085275042
15740,31000US15740,"Cambridge, OH Micro Area",19127,15564,3563,518,284,2761,591,31,0.186281173210645
15780,31000US15780,"Camden, AR Micro Area",15993,12564,3429,308,42,3079,575,32,0.214406302757456
15820,31000US15820,"Campbellsville, KY Micro Area",10924,9491,1433,276,89,1068,565,33.2999992370605,0.131179055291102
15860,31000US15860,"Ca�on City, CO Micro Area",19199,16600,2599,241,303,2055,697,30.6000003814697,0.135371633939268
15900,31000US15900,"Canton, IL Micro Area",16178,14501,1677,298,130,1249,613,29.2000007629395,0.103659290394363
