year,capinc,net_corp_capinc,housing_capinc,self_capinc,net_for_capinc,net_govt_interest,labinc,priv_wages,pub_wages,self_labinc,net_for_labinc,gdp_def_2005,natincome,gdp
1997,2061.22465018369,968.5923,492.2,305.564650183686,27.8497,267.018,5019.86224981631,3145.1071,886.959,992.196149816314,-4.4,84.628,7405.98,"8,332.4"
1998,2093.98970938894,973.4951,516.6,313.041609388936,21.917,268.936,5434.13329061106,3420.2158,918.697,1099.82049061106,-4.6,85.584,7875.5855,"8,793.5"
1999,2160.7150553594,995.7765,555.2,325.1205553594,33.102,251.516,5806.2939446406,3653.9108,964.683,1193.0001446406,-5.3,86.842,8357.9668,"9,353.5"
2000,2189.71072836389,985.5268,590.1,328.395928363888,42.445,243.243,6320.56407163611,3979.1005,1020.253,1325.91057163611,-4.7,88.723,8938.8913,"9,951.5"
2001,2175.04221710946,921.2401,627.1,342.632117109455,57.109,226.961,6564.10668289055,4001.6795,1079.303,1488.32418289055,-5.2,90.727,9185.21,"10,286.2"
2002,2209.22329220397,937.9935,640.1,363.757292203974,54.7095,212.663,6684.21110779603,3991.4783,1150.423,1547.90980779603,-5.6,92.196,9408.5253,"10,642.3"
2003,2300.73125250292,1001.3048,625.8,397.99695250292,74.3908,201.2387,6975.96894749708,4118.6685,1225.919,1637.08144749708,-5.7,94.135,9840.175,"11,142.1"
2004,2611.51383080755,1180.7813,647.1,479.987330807554,97.4092,206.236,7310.51856919245,4284.0985,1291.135,1741.48506919245,-6.2,96.786,10534.0535,"11,867.8"
2005,2968.14014058794,1395.699,681.1,557.005940587944,103.5482,230.787,7670.70095941206,4518.1243,1355.85,1803.12665941206,-6.4,100,11273.8268,"12,638.4"
2006,3263.45629803403,1585.5183,724.8,631.544798034032,79.0152000000001,242.578,8079.11210196597,4766.757,1420.257,1898.69810196597,-6.6,103.231,12031.2293,"13,398.9"
2007,3222.15176900176,1451.7703,780,589.989169001756,130.3713,270.021,8483.44923099824,4971.2368,1499.037,2020.27543099824,-7.1,106.227,12396.422,"14,061.8"
2008,3040.82378166135,1210.2393,869.7,523.10118166135,185.2473,252.536,8793.86961833865,5044.4125,1579.813,2180.34411833865,-10.7,108.582,12557.8025,"14,369.1"
2009,3148.45065179044,1347.8978,896.6,548.961151790437,155.258,199.7337,8325.20294820956,4761.6925,1633.206,1939.30444820956,-9,109.729,12225.053,"14,119.0"
2010,3661.62580027716,1685.9281,883.5,656.842900277156,197.451,237.9038,8411.68949972284,4862.5541,1663.869,1894.46639972284,-9.2,110.992,12821.6253,"14,660.4"
